sample;version;construct;construct_old;cub;cub2;cub3;splicing;replicate;fraction_full_length;fraction_spliced;relative_mrna_levels;relative_fl_mrna_levels;relative_spliced_mrna_levels;relative_mrna_levels_nm;relative_fl_mrna_levels_nm;relative_spliced_mrna_levels_nm;median_GFP.A;GFP.A;GFP.A_nm;log10_GFP.A;positivity_threshold;negative_cell_fraction;positive_cell_fraction;i1;i2;i3;gaussian_mean1;gaussian_mean2;intensity_shble_raw;intensity_gfp_raw;intensity_neo_raw;intensity_sample;intensity shble norm;intensity_gfp_norm;intensity_neo_norm;intnorm_shble_mrna_fl;intnorm_gfp_mrna;iBAQ_all;ibaq_100hits;ibaqraw_shble;ibaqnorm_shble;ibaqnorm_shble_nm;ibaqraw_gfp;ibaqnorm_gfp;ibaqnorm_gfp_nm;ibaqnorm_gfp_tot;ibaqnorm_gfp_tot_nm;ibaqnorm_gfp_tot_mrna_fl;ibaqnorm_gfp_tot_mrna_fl_nm;ibaq_neo;ibaqnorm_neo;ibaqnorm_neo_nm;ibaqnorm_gfp_neo;ibaqnorm_shble_neo;fluo_mrna_nm;fluo_mrna;fluo_mrna_sh1;ibaqnorm_shble_mrna;ibaqnorm_shble_mrna_fl;ibaqnorm_shble_mrna_fl_sh1;ibaqnorm_nm_shble_mrna_fl_nm;ibaqnorm_gfp_mrna;ibaqnorm_gfp_mrna_sh1;ibaqnorm_nm_gfp_mrna_nm;ibaqnorm_shble_gfp;ibaqraw_shble_gfp;ibaqraw_shble_mrna_fl;ibaqraw_gfp_mrna;slope_shble_gfp_normibaq;COUSIN_18;CAI_18;CAI_59;GC3(%);COUSIN_59;folding;freq_CpG;freq_TpA;Axis1;Axis2;Axis3;Axis4;Axis5
sh11s_r3;sh11;sh11;sh11;yes;low;match;no;r3;1;0;0.917004043;0.917004043;0;1.38991822;1.38991822;0;6572;744752409;1.12;8.872011917;18253.03;0.83;0.17;0.14;0.02;0;3.75652891222089;4.36783086035149;25941030750;18453999.55;402989857.7;2,95E+12;0.0088055;0.00000626;0.000136792;0.006335265;0.00000451;2950000000000;1360000000000;25941030750;0.000621927;1.096768562;18453999.55;0.000000236;0.436974479;0.000379321817594425;0.284907228472308;0.000379321817594425;1.65557813821897;402989857.7;0.000136792;1.488578194;0.00172823;4.546515878;0.805802805;812158260.9;1.05440052886193;0.000678216;0.000678216;0.679836049305495;0.79;0.00000025736;0.313853658536585;0.31;2635.283898;1405.713199;18663710121;13277039.82;0.0018;1.116;0.836;0.783;55.797;0.369;-1125.3;0.070048;0.036231884;0.446128641;0.129954786;-0.250360782;-0.25055869;0.09234629
sh11s_r4;sh11;sh11;sh11;yes;low;match;no;r4;1;0;0.093428078;0.093428078;0;0.530343871;0.530343871;0;6233;305368445;1;8.484824158;18253.03;0.95;0.05;0.04;0;0;3.78331132220832;4.04441205037944;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.885569071;3268486855;1.83758976277679;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.116;0.836;0.783;55.797;0.369;-1125.3;0.070048;0.036231884;0.446128641;0.129954786;-0.250360782;-0.25055869;0.09234629
sh11s_r5;sh11;sh11;sh11;yes;low;match;no;r5;1;0;0.229781305;0.229781305;0;1.042465761;1.042465761;0;9196;531795608;1.1;8.725744746;18253.03;0.86;0.14;0.13;0.01;0;3.94408777254732;4.49115380489457;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.055190531;2314355412;0.885685967217577;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.116;0.836;0.783;55.797;0.369;-1125.3;0.070048;0.036231884;0.446128641;0.129954786;-0.250360782;-0.25055869;0.09234629
sh11s_r6;sh11;sh11;sh11;yes;low;match;no;r6;1;0;0.617352619;0.617352619;0;0.996540263;0.996540263;0;9337;1750492317;0.961;9.243160209;18253.03;0.71;0.29;0.22;0.07;0;3.85297267419076;4.82908329213686;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.96433635;2835482128;1.62230331039797;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.116;0.836;0.783;55.797;0.369;-1125.3;0.070048;0.036231884;0.446128641;0.129954786;-0.250360782;-0.25055869;0.09234629
sh11s_r7;sh11;sh11;sh11;yes;low;match;no;r7;1;0;3.96549235;3.96549235;0;1.292352831;1.292352831;0;11946.5;2251779237;1;9.35252581;18253.03;0.61;0.39;0.28;0.11;0;3.89436366708478;4.8586436063545;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.773782497;567843545.9;0.752725693631848;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.116;0.836;0.783;55.797;0.369;-1125.3;0.070048;0.036231884;0.446128641;0.129954786;-0.250360782;-0.25055869;0.09234629
sh11s_r8;sh11;sh11;sh11;yes;low;match;no;r8;1;0;1.604918459;1.604918459;0;0.920187651;0.920187651;0;14452;1789049399;0.912;9.252622332;18253.03;0.57;0.43;0.35;0.07;0;3.96121705784546;4.74915746598754;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.991102194;1114729156;0.888984550386147;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.116;0.836;0.783;55.797;0.369;-1125.3;0.070048;0.036231884;0.446128641;0.129954786;-0.250360782;-0.25055869;0.09234629
sh12s_r1;sh12;sh12;sh12;yes;high;overmatch;no;r1;1;0;6.928293272;6.928293272;0;1.176906737;1.176906737;0;9877.5;1620499810;0.994;9.209648984;18253.03;0.64;0.36;0.28;0.09;0;3.78851128864651;4.64527323099417;82510070689;313379849;1700298915;2,98E+12;0.027701225;0.000105211;0.000570844;0.023537316;0.0000893966;2980000000000;1370000000000;82510070689;0.002002235;0.964648482;313379849;0.00000341;1.003830211;0.00170020118216334;0.509952286793688;0.00170020118216334;1.30381091492262;1700298915;0.000570844;1.563647719;0.005973068;3.507499422;0.844586889;233895960.6;0.963406476936588;0.000288994;0.000288994;0.457193752926734;0.82;0.000000492;2.73333333333333;0.85;587.1656891;263.2909262;70107569355;266274156.8;0.0014;1.692;0.854;0.827;55.797;0.369;-1125.3;0.070048;0.036231884;0.446128641;0.129954786;-0.250360782;-0.25055869;0.09234629
sh12s_r2;sh12;sh12;sh12;yes;high;overmatch;no;r2;1;0;5.398280715;5.398280715;0;1.563739286;1.563739286;0;9368.5;1352994185;0.978;9.13129593;18253.03;0.69;0.31;0.24;0.07;0;3.82719428610214;4.50526369567215;74610912549;114759952.6;563550313.1;2,29E+12;0.032543166;0.000050055;0.000245805;0.02081112;0.0000320098;2290000000000;1060000000000;74610912549;0.002469866;1.780347929;114759952.6;0.00000171;0.825894579;0.000691866242429931;0.316890917274533;0.000691866242429931;1.4337746170536;563550313.1;0.000245805;1.140282513;0.006970973;10.04807063;0.625423949;250634277.2;0.95291229484043;0.000457528;0.000457528;0.878619643388672;1.1;0.000000317;0.667368421052632;0.53;1444.366082;650.1476417;47713140686;73388162.35;0.0014;1.692;0.854;0.827;55.797;0.369;-1125.3;0.070048;0.036231884;0.446128641;0.129954786;-0.250360782;-0.25055869;0.09234629
sh12s_r3;sh12;sh12;sh12;yes;high;overmatch;no;r3;1;0;1.846764621;1.846764621;0;2.799171731;2.799171731;0;6441;739457253;1.12;8.868913073;18253.03;0.8;0.2;0.17;0.03;0;3.72467424575544;4.2912688506511;38227013533;30643984.71;551390024;2,51E+12;0.015246339;0.0000122219;0.000219915;0.005446732;0.00000437;2510000000000;1140000000000;38227013533;0.001178962;2.07910005;30643984.71;0.000000284;0.52439784;0.000240831853574233;0.20142049740628;0.000240831853574233;3.57336259994242;551390024;0.000219915;2.393127329;0.001290067;5.360989473;0.400118359;400406876.1;0.519836148008815;0.000638393;0.000638393;0.639917924413878;0.74;0.000000154;0.18780487804878;0.19;4151.274648;1247.455704;13656544581;10947518.64;0.0014;1.692;0.854;0.827;55.797;0.369;-1125.3;0.070048;0.036231884;0.446128641;0.129954786;-0.250360782;-0.25055869;0.09234629
sh12s_r4;sh12;sh12;sh12;yes;high;overmatch;no;r4;1;0;0.176165094;0.176165094;0;1;1;0;6514;376942425;1.23;8.57627502;18253.03;0.94;0.06;0.06;0.01;0;3.79815824330637;4.19319797494768;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.23;2139711197;1.20297604528872;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.692;0.854;0.827;55.797;0.369;-1125.3;0.070048;0.036231884;0.446128641;0.129954786;-0.250360782;-0.25055869;0.09234629
sh12s_r5;sh12;sh12;sh12;yes;high;overmatch;no;r5;1;0;0.428787078;0.428787078;0;1.945309895;1.945309895;0;9075;567114464;1.17;8.753670724;18253.03;0.83;0.17;0.16;0.01;0;3.92191775189852;4.46008527838244;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.601446589;1322601574;0.506149422097352;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.692;0.854;0.827;55.797;0.369;-1125.3;0.070048;0.036231884;0.446128641;0.129954786;-0.250360782;-0.25055869;0.09234629
sh12s_r6;sh12;sh12;sh12;yes;high;overmatch;no;r6;NA;NA;NA;NA;NA;NA;NA;NA;10403;1940935931;1.07;9.2880112;18253.03;0.67;0.33;0.24;0.09;0;3.8857573499008;4.93274830576454;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.692;0.854;0.827;55.797;0.369;-1125.3;0.070048;0.036231884;0.446128641;0.129954786;-0.250360782;-0.25055869;0.09234629
sh12s_r7;sh12;sh12;sh12;yes;high;overmatch;no;r7;1;0;3.143779429;3.143779429;0;1.024556823;1.024556823;0;10413;1827683794;0.812;9.261901061;18253.03;0.62;0.38;0.29;0.09;0;3.8095108988289;4.80574331332943;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.79253779;581365148.3;0.770649746161885;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.692;0.854;0.827;55.797;0.369;-1125.3;0.070048;0.036231884;0.446128641;0.129954786;-0.250360782;-0.25055869;0.09234629
sh12s_r8;sh12;sh12;sh12;yes;high;overmatch;no;r8;1;0;1.738086641;1.738086641;0;0.996540263;0.996540263;0;17003.5;1968832095;1;9.29420868;18253.03;0.52;0.48;0.38;0.1;0;3.99998132630848;4.91746840216588;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.003471748;1132758315;0.903362611389744;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.692;0.854;0.827;55.797;0.369;-1125.3;0.070048;0.036231884;0.446128641;0.129954786;-0.250360782;-0.25055869;0.09234629
sh13s_r1;sh13;sh13sp;sh13;no;NA;NA;yes;r1;0.69;0.31;5.725890179;3.950864223;1.775025955;0.972654947;0.671131913;0.301523034;12253.5;1795188210;1.1;9.254109987;18253.03;0.6;0.4;0.31;0.09;0;3.86618829537602;4.6882804798919;64545923589;168470073.7;547999806.7;1,52E+12;0.042353894;0.000110547;0.000359588;0.063108151;0.000113655;1520000000000;688000000000;64545923589;0.003139832;1.512726614;168470073.7;0.00000311;0.914840374;0.000989518737539541;0.376854842120633;0.000682977432693968;0.590848020390494;547999806.7;0.000359588;0.984978306;0.008641612;8.731748557;1.13092521;313521243.7;1.29137927847478;0.000548357;0.00079472;1.25726146330351;2.3;0.000000543;3.01666666666667;0.94;1009.592283;383.1299065;96174719662;173206412.2;0.001;1.099;0.833;0.809;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
sh13s_r2;sh13;sh13sp;sh13;no;NA;NA;yes;r2;0.68;0.32;3.300077716;2.244052847;1.056024869;0.955945318;0.650042816;0.305902502;11042;1808380951;1.31;9.257289924;18253.03;0.63;0.37;0.28;0.09;0;3.85889946479217;4.57766455668596;43493024995;140219919.8;338770146.9;1,69E+12;0.025677949;0.0000827848;0.000200007;0.039501935;0.0000865999;1690000000000;815000000000;43493024995;0.001688581;1.217176028;140219919.8;0.000000922;0.444604091;0.000545722617834949;0.267546882957985;0.000371156195613425;0.599153011964634;338770146.9;0.000200007;0.927826874;0.004611984;8.442609509;1.370371271;547981322.4;2.08342667767343;0.000511679;0.000752469;1.44501329851076;1.9;0.000000279;0.587368421052632;0.47;1831.432755;310.1772206;66907938869;146681946.3;0.001;1.099;0.833;0.809;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
sh13s_r3;sh13;sh13sp;sh13;no;NA;NA;yes;r3;0.76;0.24;1.031683179;0.784079216;0.247603963;1.563739286;1.188441857;0.375297429;8003.5;1143969957;1.73;9.058414619;18253.03;0.74;0.26;0.21;0.05;0;3.79536788819337;4.45141936044092;40308946085;46802972.28;526789896.6;2,84E+12;0.014176047;0.0000164599;0.000185264;0.011928263;0.000010526;2840000000000;1310000000000;40308946085;0.001011059;1.78300303;46802972.28;0.00000114;2.106297284;0.00112626074516968;0.541562007031993;0.000856189596541245;1.28897668299211;526789896.6;0.000185264;2.016053209;0.006150844;5.457395932;1.106322528;1108838430;1.43957142751811;0.000980009;0.001289486;1.29256618521938;1.5;0.0000011;1.34146341463415;1.3;886.8938596;861.2475687;33917474252;29930163.36;0.001;1.099;0.833;0.809;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
sh13s_r4;sh13;sh13sp;sh13;no;NA;NA;yes;r4;1;0;0.162667732;0.162667732;0;0.923382311;0.923382311;0;6309;335149668;1.1;8.525238794;18253.03;0.94;0.06;0.05;0.01;0;3.78559605752275;4.13744945516252;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.19127255;2060332827;1.15834839752114;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.099;0.833;0.809;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
sh13s_r5;sh13;sh13sp;sh13;no;NA;NA;yes;r5;0.89;0.11;0.231379561;0.205927809;0.025451752;1.049716684;0.934247849;0.115468835;8885;482370147;0.996;8.683380422;18253.03;0.85;0.15;0.14;0.01;0;3.91886175899866;4.40492688231385;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.948827446;2084756947;0.797820405389515;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.099;0.833;0.809;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
sh13s_r6;sh13;sh13sp;sh13;no;NA;NA;yes;r6;0.85;0.15;0.692154814;0.588331592;0.103823222;1.117287138;0.949694067;0.167593071;10482;1821148491;1;9.260345358;18253.03;0.67;0.33;0.25;0.08;0;3.88102970531895;4.77364489888473;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.895025071;2631128836;1.50538385644388;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.099;0.833;0.809;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
sh13s_r7;sh13;sh13sp;sh13;no;NA;NA;yes;r7;0.76;0.24;2.215296799;1.683625567;0.531671232;0.721964598;0.548693094;0.173271504;14164;2091199753;0.929;9.320395519;18253.03;0.58;0.42;0.32;0.09;0;3.98595485298706;4.82641114854094;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.286766695;943981751.6;1.25132939148357;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.099;0.833;0.809;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
sh13s_r8;sh13;sh13sp;sh13;no;NA;NA;yes;r8;0.82;0.18;2.110375908;1.730508245;0.379867663;1.209994089;0.992195153;0.217798936;19897.5;1882574368;0.959;9.274752141;18253.03;0.48;0.52;0.45;0.08;0;3.9848676546033;4.78361028953243;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.792565855;892056415.6;0.711405427293986;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.099;0.833;0.809;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
sh13mut_r1;sh13;sh13;sh13mut;yes;high;overmatch;yes;r1;1;0;7.025008641;7.025008641;0;1.193335743;1.193335743;0;11387;1730935908;1.06;9.238280987;18253.03;0.6;0.4;0.31;0.09;0;3.81352567345068;4.64820371310105;1,19E+11;256709961.9;1117000000;2,78E+12;0.04290317;0.0000922881;0.000401565;0.035952304;0.0000773363;2780000000000;1230000000000;119000000000;0.003498616;1.685583667;256709961.9;0.00000319;0.938701909;0.000910958516833885;0.35769807889231;0.000910958516833885;0.969496901869721;1117000000;0.000401565;1.099961104;0.007940109;8.712452529;0.888266363;246396267.4;1.01489465357684;0.000498023;0.000498023;0.787881424575703;1.4;0.000000454;2.52222222222222;0.79;1096.744828;463.5581694;99720469028;215119645.4;0.00094;1.014;0.817;0.813;63.043;1.415;-1096.5;0.077295;0.024154589;-0.138359754;0.668605873;-0.654901587;-0.24157392;-0.098650224
sh13mut_r2;sh13;sh13;sh13mut;yes;high;overmatch;yes;r2;1;0;4.798222304;4.798222304;0;1.38991822;1.38991822;0;10495;1719383070;1.24;9.235372646;18253.03;0.64;0.36;0.27;0.09;0;3.84933600128899;4.54334074408699;81841056206;233639866.9;615339712;2,85E+12;0.028670412;0.0000818483;0.000215565;0.020627409;0.0000588871;2850000000000;1340000000000;81841056206;0.002064495;1.488145267;233639866.9;0.00000207;1;0.00100166217854265;0.401905794353284;0.00100166217854265;1.33504700161382;615339712;0.000215565;1;0.009624568;9.577134507;0.89213882;358337517.7;1.3624003473653;0.000430262;0.000430262;0.826259037706319;1.1;0.000000431;0.907368421052631;0.72;997.3405797;350.2872061;58881921993;168096125;0.00094;1.014;0.817;0.813;63.043;1.415;-1096.5;0.077295;0.024154589;-0.138359754;0.668605873;-0.654901587;-0.24157392;-0.098650224
sh13mut_r3;sh13;sh13;sh13mut;yes;high;overmatch;yes;r3;1;0;1.038859103;1.038859103;0;1.574615953;1.574615953;0;6749;738682203;1.11;8.868457636;18253.03;0.82;0.18;0.15;0.02;0;3.76261433774517;4.35604343366557;35062019983;33136992.08;442570068.6;2,71E+12;0.012916781;0.0000122076;0.000163042;0.008203131;0.00000775;2710000000000;1370000000000;35062019983;0.000730718;1.288621542;33136992.08;0.000000575;1.06206713;0.000786278550457888;0.45181105547949;0.000786278550457888;1.76619017862737;442570068.6;0.000163042;1.774232162;0.003524184;4.481777701;0.704933795;711051383.8;0.923136525504162;0.000703385;0.000703385;0.705065170300827;0.82;0.000000553;0.674390243902439;0.67;1270.813913;1058.093019;22267029568;21044491.53;0.00094;1.014;0.817;0.813;63.043;1.415;-1096.5;0.077295;0.024154589;-0.138359754;0.668605873;-0.654901587;-0.24157392;-0.098650224
sh13mut_r4;sh13;sh13;sh13mut;yes;high;overmatch;yes;r4;1;0;0.150204506;0.150204506;0;0.852634892;0.852634892;0;5789;293463274;0.961;8.467553758;18253.03;0.95;0.05;0.05;0;0;3.74786032025453;4.02382499182184;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.127094386;1953758122;1.09843058369259;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.014;0.817;0.813;63.043;1.415;-1096.5;0.077295;0.024154589;-0.138359754;0.668605873;-0.654901587;-0.24157392;-0.098650224
sh2s_r1;sh2;sh2;sh2;yes;high;overmatch;no;r1;1;0;6.265805557;6.265805557;0;1.064370182;1.064370182;0;8731;915928578;0.562;8.96186161;18253.03;0.69;0.31;0.28;0.03;0;3.73675514069461;4.39500265015557;83985936161;94835023.69;602260140.4;2,17E+12;0.038736475;0.0000437404;0.000277778;0.036393799;0.0000410951;2170000000000;996000000000;83985936161;0.00271233;1.306762202;94835023.69;0.00000126;0.370211501;0.000464329541308746;0.220761661520222;0.000464329541308746;0.910524693557807;602260140.4;0.000277778;0.760885524;0.00452696;9.764380188;0.528011785;146178902.3;0.602104033374661;0.000432878;0.000432878;0.684820852264817;1.2;0.000000201;1.11666666666667;0.35;2152.642857;885.6004132;78906697671;89099662.22;0.00031;3.475;0.996;0.994;97.826;3.458;-1299.3;0.111111;0.009661836;-2.814593643;0.562248728;0.102197072;0.531636004;0.00028917
sh2s_r2;sh2;sh2;sh2;yes;high;overmatch;no;r2;1;0;3.288660315;3.288660315;0;0.952637998;0.952637998;0;6795.5;654098119;0.473;8.8156429;18253.03;0.8;0.2;0.18;0.02;0;3.7442894438439;4.23462568734237;55823935899;56874030.36;396899759.6;2,88E+12;0.019407581;0.0000197727;0.000137985;0.020372462;0.0000207557;2880000000000;1290000000000;55823935899;0.001473753;1.062322046;56874030.36;0.00000154;0.740967456;0.00104386043992617;0.410897670716879;0.00104386043992617;0.894694339045978;396899759.6;0.000137985;0.640108552;0.011141066;10.68053049;0.496515991;198895007.8;0.756199433023933;0.000448132;0.000448132;0.860575916733079;1.1;0.000000468;0.985263157894737;0.78;956.9824675;981.5364859;58599316861;59701618.54;0.00031;3.475;0.996;0.994;97.826;3.458;-1299.3;0.111111;0.009661836;-2.814593643;0.562248728;0.102197072;0.531636004;0.00028917
sh2s_r3;sh2;sh2;sh2;yes;high;overmatch;no;r3;1;0;0.648419777;0.648419777;0;0.982820599;0.982820599;0;6314;484591750;0.731;8.685376016;18253.03;0.87;0.13;0.12;0.01;0;3.75387373854854;4.27132525334061;51583042771;40242020.36;535810126.4;4,28E+12;0.012056181;0.00000941;0.000125232;0.01226692;0.00000957;4280000000000;1990000000000;51583042771;0.000946978;1.669996156;40242020.36;0.000000515;0.951897466;0.000543539635649023;0.363057241534416;0.000543539635649023;0.725231852117996;535810126.4;0.000125232;1.362781628;0.004112264;7.561789319;0.743777655;747342642.8;0.97025237043845;0.00146044;0.00146044;1.46392854171491;1.7;0.000000794;0.968292682926829;0.97;1838.792233;1281.820403;52484698452;40945438.47;0.00031;3.475;0.996;0.994;97.826;3.458;-1299.3;0.111111;0.009661836;-2.814593643;0.562248728;0.102197072;0.531636004;0.00028917
sh2s_r4;sh2;sh2;sh2;yes;high;overmatch;no;r4;1;0;0.178624267;0.178624267;0;1.01395948;1.01395948;0;5774.5;305302175;1;8.484729898;18253.03;0.94;0.06;0.05;0;0;3.74405537701918;4.17109673074844;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.986232704;1709186435;0.960928905321528;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.475;0.996;0.994;97.826;3.458;-1299.3;0.111111;0.009661836;-2.814593643;0.562248728;0.102197072;0.531636004;0.00028917
sh2s_r5;sh2;sh2;sh2;yes;high;overmatch;no;r5;1;0;0.161357589;0.161357589;0;0.732042848;0.732042848;0;8542;459008788;0.947;8.661821;18253.03;0.87;0.13;0.12;0.01;0;3.9110327759434;4.46008936216459;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.293640123;2844668120;1.08863255064957;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.475;0.996;0.994;97.826;3.458;-1299.3;0.111111;0.009661836;-2.814593643;0.562248728;0.102197072;0.531636004;0.00028917
sh2s_r6;sh2;sh2;sh2;yes;high;overmatch;no;r6;1;0;0.919656283;0.919656283;0;1.484523571;1.484523571;0;8255.5;1377440138;0.756;9.139072734;18253.03;0.72;0.28;0.2;0.07;0;3.81062250599698;4.93432455006017;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.509254292;1497777119;0.856943781940152;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.475;0.996;0.994;97.826;3.458;-1299.3;0.111111;0.009661836;-2.814593643;0.562248728;0.102197072;0.531636004;0.00028917
sh2s_r7;sh2;sh2;sh2;yes;high;overmatch;no;r7;1;0;2.117702602;2.117702602;0;0.690158677;0.690158677;0;14818;1584047397;0.703;9.199768172;18253.03;0.58;0.42;0.35;0.07;0;4.01956615866427;4.82000137557194;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.018606334;748002762.6;0.991542304886526;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.475;0.996;0.994;97.826;3.458;-1299.3;0.111111;0.009661836;-2.814593643;0.562248728;0.102197072;0.531636004;0.00028917
sh2s_r8;sh2;sh2;sh2;yes;high;overmatch;no;r8;1;0;4.048815774;4.048815774;0;2.321407829;2.321407829;0;16588;1440747363;0.734;9.158587833;18253.03;0.54;0.46;0.41;0.06;0;4.05737651500458;4.75839641505658;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.316187441;355844139;0.283781885683863;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.475;0.996;0.994;97.826;3.458;-1299.3;0.111111;0.009661836;-2.814593643;0.562248728;0.102197072;0.531636004;0.00028917
